Nama,Khasiat,Produsen,Kategori,Khasiat_Length,Case_folding,punctuation_removal,tokenizing,stopwordremoval,stemming
jamu nifas (pluntur),"sangat efektif untuk wanita yang sering terlambat bulan, datang bulan tidak teratur, sakit-sakit badan waktu datang bulan",ribkah maryam jokotole,Jamu Perawatan Kewanitaan,121,"sangat efektif untuk wanita yang sering terlambat bulan, datang bulan tidak teratur, sakit-sakit badan waktu datang bulan",sangat efektif untuk wanita yang sering terlambat bulan datang bulan tidak teratur sakitsakit badan waktu datang bulan,"['sangat', 'efektif', 'untuk', 'wanita', 'yang', 'sering', 'terlambat', 'bulan', 'datang', 'bulan', 'tidak', 'teratur', 'sakitsakit', 'badan', 'waktu', 'datang', 'bulan']","['efektif', 'wanita', 'terlambat', 'teratur', 'sakitsakit', 'badan']","['efektif', 'wanita', 'lambat', 'atur', 'sakitsakit', 'badan']"
sehat lelaki (perkasa lelaki),Memperkuat fungsi lelaki serta meningkatkan ketahanan kejantanan,ribkah maryam jokotole,Jamu Pasutri,64,memperkuat fungsi lelaki serta meningkatkan ketahanan kejantanan,memperkuat fungsi lelaki serta meningkatkan ketahanan kejantanan,"['memperkuat', 'fungsi', 'lelaki', 'serta', 'meningkatkan', 'ketahanan', 'kejantanan']","['memperkuat', 'fungsi', 'lelaki', 'meningkatkan', 'ketahanan', 'kejantanan']","['kuat', 'fungsi', 'lelaki', 'tingkat', 'tahan', 'jantan']"
sepet madura(empot-empotan,"membuat denyut - denyut istimewa yang khas, memperkuat otot - otot kewanitaan, menghilangkan bau tidak enak gatal - gatal dan keputihan",ribkah maryam jokotole,Jamu Perawatan Kewanitaan,135,"membuat denyut - denyut istimewa yang khas, memperkuat otot - otot kewanitaan, menghilangkan bau tidak enak gatal - gatal dan keputihan",membuat denyut  denyut istimewa yang khas memperkuat otot  otot kewanitaan menghilangkan bau tidak enak gatal  gatal dan keputihan,"['membuat', 'denyut', 'denyut', 'istimewa', 'yang', 'khas', 'memperkuat', 'otot', 'otot', 'kewanitaan', 'menghilangkan', 'bau', 'tidak', 'enak', 'gatal', 'gatal', 'dan', 'keputihan']","['denyut', 'denyut', 'istimewa', 'khas', 'memperkuat', 'otot', 'otot', 'kewanitaan', 'menghilangkan', 'bau', 'enak', 'gatal', 'gatal', 'keputihan']","['denyut', 'denyut', 'istimewa', 'khas', 'kuat', 'otot', 'otot', 'wanita', 'hilang', 'bau', 'enak', 'gatal', 'gatal', 'putih']"
sehat perempuan(montok payudaya),"mengencangkan payudara, memperbesar payudara yang kurang ideal, menyehatkan dan memperindah payudara",ribkah maryam jokotole,Jamu Perawatan Kewanitaan,100,"mengencangkan payudara, memperbesar payudara yang kurang ideal, menyehatkan dan memperindah payudara",mengencangkan payudara memperbesar payudara yang kurang ideal menyehatkan dan memperindah payudara,"['mengencangkan', 'payudara', 'memperbesar', 'payudara', 'yang', 'kurang', 'ideal', 'menyehatkan', 'dan', 'memperindah', 'payudara']","['mengencangkan', 'payudara', 'memperbesar', 'payudara', 'ideal', 'menyehatkan', 'memperindah', 'payudara']","['encang', 'payudara', 'besar', 'payudara', 'ideal', 'sehat', 'indah', 'payudara']"
sari harum(keputihan),"sangat mujarab dan benar - benar ampuh untuk segala macam keputihan yang lama maupun yang baru. Menghilangkan bau yang tidak enak, gatal - gatal ",ribkah maryam jokotole,Jamu Perawatan Kewanitaan,145,"sangat mujarab dan benar - benar ampuh untuk segala macam keputihan yang lama maupun yang baru. menghilangkan bau yang tidak enak, gatal - gatal ",sangat mujarab dan benar  benar ampuh untuk segala macam keputihan yang lama maupun yang baru menghilangkan bau yang tidak enak gatal  gatal ,"['sangat', 'mujarab', 'dan', 'benar', 'benar', 'ampuh', 'untuk', 'segala', 'macam', 'keputihan', 'yang', 'lama', 'maupun', 'yang', 'baru', 'menghilangkan', 'bau', 'yang', 'tidak', 'enak', 'gatal', 'gatal']","['mujarab', 'ampuh', 'keputihan', 'menghilangkan', 'bau', 'enak', 'gatal', 'gatal']","['mujarab', 'ampuh', 'putih', 'hilang', 'bau', 'enak', 'gatal', 'gatal']"
awet ayu,"membuat dan menjaga kulit tubuh perempuan segar halus dan bercahaya, mengencangkan seluruh otot - otot tubuh anda agar tetap singset. Menjaga tubuh tetap sehat dan segar selalu",ribkah maryam jokotole,Jamu Perawatan Kewanitaan,176,"membuat dan menjaga kulit tubuh perempuan segar halus dan bercahaya, mengencangkan seluruh otot - otot tubuh anda agar tetap singset. menjaga tubuh tetap sehat dan segar selalu",membuat dan menjaga kulit tubuh perempuan segar halus dan bercahaya mengencangkan seluruh otot  otot tubuh anda agar tetap singset menjaga tubuh tetap sehat dan segar selalu,"['membuat', 'dan', 'menjaga', 'kulit', 'tubuh', 'perempuan', 'segar', 'halus', 'dan', 'bercahaya', 'mengencangkan', 'seluruh', 'otot', 'otot', 'tubuh', 'anda', 'agar', 'tetap', 'singset', 'menjaga', 'tubuh', 'tetap', 'sehat', 'dan', 'segar', 'selalu']","['menjaga', 'kulit', 'tubuh', 'perempuan', 'segar', 'halus', 'bercahaya', 'mengencangkan', 'otot', 'otot', 'tubuh', 'singset', 'menjaga', 'tubuh', 'sehat', 'segar']","['jaga', 'kulit', 'tubuh', 'perempuan', 'segar', 'halus', 'cahaya', 'encang', 'otot', 'otot', 'tubuh', 'singset', 'jaga', 'tubuh', 'sehat', 'segar']"
SUPER SEHAT BURUNG WALET,"Insya Allah sangat ampuh untuk mencegah dan menyembuhkan Rematik, Asam urat, Tekanan darah tinggi, Asma, Maag, Ginjal, Tipes, Cacingan, Sakit gigi, Lemah syahwat, Gatal - gatal alergi, Paru-paru basah, Kurang nafsu makan, Melancarkan Sirkulasi darah, Jerawat, Bisul, Kudis, Panu, Merawat Ms V, Mengatasi keputihan, Merawat dan mengencangkan kulit, Mencegah dan mengatasi penyakit menahun, Kelumpuhan / badan mati separuh seperti Stroke, Kanker, Liver, Kencing manis basah / kencing manis kering, Menjaga dan menambah daya tahan tubuh.",PT.QOMAR JAYA NUSANTARA,Jamu Kesehatan,534,"insya allah sangat ampuh untuk mencegah dan menyembuhkan rematik, asam urat, tekanan darah tinggi, asma, maag, ginjal, tipes, cacingan, sakit gigi, lemah syahwat, gatal - gatal alergi, paru-paru basah, kurang nafsu makan, melancarkan sirkulasi darah, jerawat, bisul, kudis, panu, merawat ms v, mengatasi keputihan, merawat dan mengencangkan kulit, mencegah dan mengatasi penyakit menahun, kelumpuhan / badan mati separuh seperti stroke, kanker, liver, kencing manis basah / kencing manis kering, menjaga dan menambah daya tahan tubuh.",insya allah sangat ampuh untuk mencegah dan menyembuhkan rematik asam urat tekanan darah tinggi asma maag ginjal tipes cacingan sakit gigi lemah syahwat gatal  gatal alergi paruparu basah kurang nafsu makan melancarkan sirkulasi darah jerawat bisul kudis panu merawat ms v mengatasi keputihan merawat dan mengencangkan kulit mencegah dan mengatasi penyakit menahun kelumpuhan  badan mati separuh seperti stroke kanker liver kencing manis basah  kencing manis kering menjaga dan menambah daya tahan tubuh,"['insya', 'allah', 'sangat', 'ampuh', 'untuk', 'mencegah', 'dan', 'menyembuhkan', 'rematik', 'asam', 'urat', 'tekanan', 'darah', 'tinggi', 'asma', 'maag', 'ginjal', 'tipes', 'cacingan', 'sakit', 'gigi', 'lemah', 'syahwat', 'gatal', 'gatal', 'alergi', 'paruparu', 'basah', 'kurang', 'nafsu', 'makan', 'melancarkan', 'sirkulasi', 'darah', 'jerawat', 'bisul', 'kudis', 'panu', 'merawat', 'ms', 'v', 'mengatasi', 'keputihan', 'merawat', 'dan', 'mengencangkan', 'kulit', 'mencegah', 'dan', 'mengatasi', 'penyakit', 'menahun', 'kelumpuhan', 'badan', 'mati', 'separuh', 'seperti', 'stroke', 'kanker', 'liver', 'kencing', 'manis', 'basah', 'kencing', 'manis', 'kering', 'menjaga', 'dan', 'menambah', 'daya', 'tahan', 'tubuh']","['insya', 'allah', 'ampuh', 'mencegah', 'menyembuhkan', 'rematik', 'asam', 'urat', 'tekanan', 'darah', 'asma', 'maag', 'ginjal', 'tipes', 'cacingan', 'sakit', 'gigi', 'lemah', 'syahwat', 'gatal', 'gatal', 'alergi', 'paruparu', 'basah', 'nafsu', 'makan', 'melancarkan', 'sirkulasi', 'darah', 'jerawat', 'bisul', 'kudis', 'panu', 'merawat', 'ms', 'v', 'mengatasi', 'keputihan', 'merawat', 'mengencangkan', 'kulit', 'mencegah', 'mengatasi', 'penyakit', 'menahun', 'kelumpuhan', 'badan', 'mati', 'separuh', 'stroke', 'kanker', 'liver', 'kencing', 'manis', 'basah', 'kencing', 'manis', 'kering', 'menjaga', 'menambah', 'daya', 'tahan', 'tubuh']","['insya', 'allah', 'ampuh', 'cegah', 'sembuh', 'rematik', 'asam', 'urat', 'tekan', 'darah', 'asma', 'maag', 'ginjal', 'tipes', 'cacing', 'sakit', 'gigi', 'lemah', 'syahwat', 'gatal', 'gatal', 'alergi', 'paruparu', 'basah', 'nafsu', 'makan', 'lancar', 'sirkulasi', 'darah', 'jerawat', 'bisul', 'kudis', 'panu', 'rawat', 'ms', 'v', 'atas', 'putih', 'rawat', 'encang', 'kulit', 'cegah', 'atas', 'sakit', 'tahun', 'lumpuh', 'badan', 'mati', 'paruh', 'stroke', 'kanker', 'liver', 'kencing', 'manis', 'basah', 'kencing', 'manis', 'kering', 'jaga', 'tambah', 'daya', 'tahan', 'tubuh']"
SUPER KUAT BURUNG WALET,"Insyaallah sangat ampuh untuk menambah kepuasan Sex, Tahan keluarnya air sperma, menambah kejantanan, mengencangkan otot zakar, menguatkan dan mengobati impoten yang menahun, merangsang dan mempercepat hidupnya dzakar, menambah energi baru setelah berhubungan, mengganti sel-sel tubuh yang aus, mengobati lesu, loyo, sakit pinggang, sakit kepala, dan menambah daya tahan tubuh dan menambah vitalitas pria dan wanita.",PT.QOMAR JAYA NUSANTARA,Jamu Pasutri,416,"insyaallah sangat ampuh untuk menambah kepuasan sex, tahan keluarnya air sperma, menambah kejantanan, mengencangkan otot zakar, menguatkan dan mengobati impoten yang menahun, merangsang dan mempercepat hidupnya dzakar, menambah energi baru setelah berhubungan, mengganti sel-sel tubuh yang aus, mengobati lesu, loyo, sakit pinggang, sakit kepala, dan menambah daya tahan tubuh dan menambah vitalitas pria dan wanita.",insyaallah sangat ampuh untuk menambah kepuasan sex tahan keluarnya air sperma menambah kejantanan mengencangkan otot zakar menguatkan dan mengobati impoten yang menahun merangsang dan mempercepat hidupnya dzakar menambah energi baru setelah berhubungan mengganti selsel tubuh yang aus mengobati lesu loyo sakit pinggang sakit kepala dan menambah daya tahan tubuh dan menambah vitalitas pria dan wanita,"['insyaallah', 'sangat', 'ampuh', 'untuk', 'menambah', 'kepuasan', 'sex', 'tahan', 'keluarnya', 'air', 'sperma', 'menambah', 'kejantanan', 'mengencangkan', 'otot', 'zakar', 'menguatkan', 'dan', 'mengobati', 'impoten', 'yang', 'menahun', 'merangsang', 'dan', 'mempercepat', 'hidupnya', 'dzakar', 'menambah', 'energi', 'baru', 'setelah', 'berhubungan', 'mengganti', 'selsel', 'tubuh', 'yang', 'aus', 'mengobati', 'lesu', 'loyo', 'sakit', 'pinggang', 'sakit', 'kepala', 'dan', 'menambah', 'daya', 'tahan', 'tubuh', 'dan', 'menambah', 'vitalitas', 'pria', 'dan', 'wanita']","['insyaallah', 'ampuh', 'menambah', 'kepuasan', 'sex', 'tahan', 'keluarnya', 'air', 'sperma', 'menambah', 'kejantanan', 'mengencangkan', 'otot', 'zakar', 'menguatkan', 'mengobati', 'impoten', 'menahun', 'merangsang', 'mempercepat', 'hidupnya', 'dzakar', 'menambah', 'energi', 'berhubungan', 'mengganti', 'selsel', 'tubuh', 'aus', 'mengobati', 'lesu', 'loyo', 'sakit', 'pinggang', 'sakit', 'kepala', 'menambah', 'daya', 'tahan', 'tubuh', 'menambah', 'vitalitas', 'pria', 'wanita']","['insyaallah', 'ampuh', 'tambah', 'puas', 'sex', 'tahan', 'keluar', 'air', 'sperma', 'tambah', 'jantan', 'encang', 'otot', 'zakar', 'kuat', 'obat', 'impoten', 'tahun', 'rangsang', 'cepat', 'hidup', 'dzakar', 'tambah', 'energi', 'hubung', 'ganti', 'selsel', 'tubuh', 'aus', 'obat', 'lesu', 'loyo', 'sakit', 'pinggang', 'sakit', 'kepala', 'tambah', 'daya', 'tahan', 'tubuh', 'tambah', 'vitalitas', 'pria', 'wanita']"
KOPI JANTAN ANTI DIABETES,"Insya Allah sangat ampuh untuk mengatasi penyakit diabetes, lemah syahwat, ejakulasi dini, meningkatkan libido, menambah stamina, vitalitas dan meningkatkan daya tahan tubuh pria dan wanita.",PT.QOMAR JAYA NUSANTARA,Jamu Pasutri,190,"insya allah sangat ampuh untuk mengatasi penyakit diabetes, lemah syahwat, ejakulasi dini, meningkatkan libido, menambah stamina, vitalitas dan meningkatkan daya tahan tubuh pria dan wanita.",insya allah sangat ampuh untuk mengatasi penyakit diabetes lemah syahwat ejakulasi dini meningkatkan libido menambah stamina vitalitas dan meningkatkan daya tahan tubuh pria dan wanita,"['insya', 'allah', 'sangat', 'ampuh', 'untuk', 'mengatasi', 'penyakit', 'diabetes', 'lemah', 'syahwat', 'ejakulasi', 'dini', 'meningkatkan', 'libido', 'menambah', 'stamina', 'vitalitas', 'dan', 'meningkatkan', 'daya', 'tahan', 'tubuh', 'pria', 'dan', 'wanita']","['insya', 'allah', 'ampuh', 'mengatasi', 'penyakit', 'diabetes', 'lemah', 'syahwat', 'ejakulasi', 'meningkatkan', 'libido', 'menambah', 'stamina', 'vitalitas', 'meningkatkan', 'daya', 'tahan', 'tubuh', 'pria', 'wanita']","['insya', 'allah', 'ampuh', 'atas', 'sakit', 'diabetes', 'lemah', 'syahwat', 'ejakulasi', 'tingkat', 'libido', 'tambah', 'stamina', 'vitalitas', 'tingkat', 'daya', 'tahan', 'tubuh', 'pria', 'wanita']"
MADU Ruqyah,"Insya Allah dapat Meningkatkan gairah sex pria/wanita, kesulitan mendapatkan keturunan, Gangguan Jin/Psikis, dan kena Sihir/Santet",PT.QOMAR JAYA NUSANTARA,Jamu Pasutri,130,"insya allah dapat meningkatkan gairah sex pria/wanita, kesulitan mendapatkan keturunan, gangguan jin/psikis, dan kena sihir/santet",insya allah dapat meningkatkan gairah sex priawanita kesulitan mendapatkan keturunan gangguan jinpsikis dan kena sihirsantet,"['insya', 'allah', 'dapat', 'meningkatkan', 'gairah', 'sex', 'priawanita', 'kesulitan', 'mendapatkan', 'keturunan', 'gangguan', 'jinpsikis', 'dan', 'kena', 'sihirsantet']","['insya', 'allah', 'meningkatkan', 'gairah', 'sex', 'priawanita', 'kesulitan', 'keturunan', 'gangguan', 'jinpsikis', 'kena', 'sihirsantet']","['insya', 'allah', 'tingkat', 'gairah', 'sex', 'priawanita', 'sulit', 'turun', 'ganggu', 'jinpsikis', 'kena', 'sihirsantet']"
SUSU SUPER SEHAT GOLD,"Mudah lesu/loyo/letih/kurang semangat atau kurang energik, Merawat dan memperkuat otot Mr.P, Menambah stamina pria dan wanita, Merawat dan mengencangkan Ms V, Mengatasi keputihan, Lendir berlebih pada Ms,V, Dan membuat keharmonisan suami istri",PT.QOMAR JAYA NUSANTARA,Jamu Pasutri,243,"mudah lesu/loyo/letih/kurang semangat atau kurang energik, merawat dan memperkuat otot mr.p, menambah stamina pria dan wanita, merawat dan mengencangkan ms v, mengatasi keputihan, lendir berlebih pada ms,v, dan membuat keharmonisan suami istri",mudah lesuloyoletihkurang semangat atau kurang energik merawat dan memperkuat otot mrp menambah stamina pria dan wanita merawat dan mengencangkan ms v mengatasi keputihan lendir berlebih pada msv dan membuat keharmonisan suami istri,"['mudah', 'lesuloyoletihkurang', 'semangat', 'atau', 'kurang', 'energik', 'merawat', 'dan', 'memperkuat', 'otot', 'mrp', 'menambah', 'stamina', 'pria', 'dan', 'wanita', 'merawat', 'dan', 'mengencangkan', 'ms', 'v', 'mengatasi', 'keputihan', 'lendir', 'berlebih', 'pada', 'msv', 'dan', 'membuat', 'keharmonisan', 'suami', 'istri']","['mudah', 'lesuloyoletihkurang', 'semangat', 'energik', 'merawat', 'memperkuat', 'otot', 'mrp', 'menambah', 'stamina', 'pria', 'wanita', 'merawat', 'mengencangkan', 'ms', 'v', 'mengatasi', 'keputihan', 'lendir', 'berlebih', 'msv', 'keharmonisan', 'suami', 'istri']","['mudah', 'lesuloyoletihkurang', 'semangat', 'energik', 'rawat', 'kuat', 'otot', 'mrp', 'tambah', 'stamina', 'pria', 'wanita', 'rawat', 'encang', 'ms', 'v', 'atas', 'putih', 'lendir', 'lebih', 'msv', 'harmonis', 'suami', 'istri']"
SUBUR KANDUNGAN,dapat menyuburkan kandungan. Baik untuk ibu yang baru keguguran,Karya Ibu Abdullah,Jamu Perawatan Kewanitaan,63,dapat menyuburkan kandungan. baik untuk ibu yang baru keguguran,dapat menyuburkan kandungan baik untuk ibu yang baru keguguran,"['dapat', 'menyuburkan', 'kandungan', 'baik', 'untuk', 'ibu', 'yang', 'baru', 'keguguran']","['menyuburkan', 'kandungan', 'keguguran']","['subur', 'kandung', 'gugur']"
SABUN CAIR SIRIH,harum dan keset pembersih daerah khusus kewanitaan,UD.MUSTIKA BANI,Jamu Perawatan Kewanitaan,50,harum dan keset pembersih daerah khusus kewanitaan,harum dan keset pembersih daerah khusus kewanitaan,"['harum', 'dan', 'keset', 'pembersih', 'daerah', 'khusus', 'kewanitaan']","['harum', 'keset', 'pembersih', 'daerah', 'khusus', 'kewanitaan']","['harum', 'keset', 'bersih', 'daerah', 'khusus', 'wanita']"
krim rondo ayu,Khasiat dapat mengencangkan payudara yang turun. Disarankan diminum dengan kapsul montok payudara untuk hasil yang maksimal.,Karya Ibu Abdullah,Jamu Perawatan Kewanitaan,124,khasiat dapat mengencangkan payudara yang turun. disarankan diminum dengan kapsul montok payudara untuk hasil yang maksimal.,khasiat dapat mengencangkan payudara yang turun disarankan diminum dengan kapsul montok payudara untuk hasil yang maksimal,"['khasiat', 'dapat', 'mengencangkan', 'payudara', 'yang', 'turun', 'disarankan', 'diminum', 'dengan', 'kapsul', 'montok', 'payudara', 'untuk', 'hasil', 'yang', 'maksimal']","['khasiat', 'mengencangkan', 'payudara', 'turun', 'disarankan', 'diminum', 'kapsul', 'montok', 'payudara', 'hasil', 'maksimal']","['khasiat', 'encang', 'payudara', 'turun', 'saran', 'minum', 'kapsul', 'montok', 'payudara', 'hasil', 'maksimal']"
harum rempah spray(perfume),"Dapat menghilangkan bau badan. Bisa digunakan untuk ketiak, leher, kaki, dan rambut.",Karya Ibu Abdullah,Jamu Kesehatan,84,"dapat menghilangkan bau badan. bisa digunakan untuk ketiak, leher, kaki, dan rambut.",dapat menghilangkan bau badan bisa digunakan untuk ketiak leher kaki dan rambut,"['dapat', 'menghilangkan', 'bau', 'badan', 'bisa', 'digunakan', 'untuk', 'ketiak', 'leher', 'kaki', 'dan', 'rambut']","['menghilangkan', 'bau', 'badan', 'ketiak', 'leher', 'kaki', 'rambut']","['hilang', 'bau', 'badan', 'ketiak', 'leher', 'kaki', 'rambut']"
virginity spray,dapat membuat wangi bagian bawah (Vagina),Karya Ibu Abdullah,Jamu Perawatan Kewanitaan,41,dapat membuat wangi bagian bawah (vagina),dapat membuat wangi bagian bawah vagina,"['dapat', 'membuat', 'wangi', 'bagian', 'bawah', 'vagina']","['wangi', 'vagina']","['wangi', 'vagina']"
empot-empot ayam super,"Menggairahkan kembali hubungan suami istri, Menyerap kelebihan lendir (keputihan), Mencegah dan menghilangkan bau tidak sedap pada bagian kewanitaan dan menghilangkan bau badan, Mengencangkan kembali otot² kewanitaan setelah melahirkan, Mengembalikan kegadisan / keperawanan, Tidak dianjurkan diminum ketika sedang masa haid/masa nifas",Karya Ibu Abdullah,Jamu Pasutri,335,"menggairahkan kembali hubungan suami istri, menyerap kelebihan lendir (keputihan), mencegah dan menghilangkan bau tidak sedap pada bagian kewanitaan dan menghilangkan bau badan, mengencangkan kembali otot² kewanitaan setelah melahirkan, mengembalikan kegadisan / keperawanan, tidak dianjurkan diminum ketika sedang masa haid/masa nifas",menggairahkan kembali hubungan suami istri menyerap kelebihan lendir keputihan mencegah dan menghilangkan bau tidak sedap pada bagian kewanitaan dan menghilangkan bau badan mengencangkan kembali otot² kewanitaan setelah melahirkan mengembalikan kegadisan  keperawanan tidak dianjurkan diminum ketika sedang masa haidmasa nifas,"['menggairahkan', 'kembali', 'hubungan', 'suami', 'istri', 'menyerap', 'kelebihan', 'lendir', 'keputihan', 'mencegah', 'dan', 'menghilangkan', 'bau', 'tidak', 'sedap', 'pada', 'bagian', 'kewanitaan', 'dan', 'menghilangkan', 'bau', 'badan', 'mengencangkan', 'kembali', 'otot²', 'kewanitaan', 'setelah', 'melahirkan', 'mengembalikan', 'kegadisan', 'keperawanan', 'tidak', 'dianjurkan', 'diminum', 'ketika', 'sedang', 'masa', 'haidmasa', 'nifas']","['menggairahkan', 'hubungan', 'suami', 'istri', 'menyerap', 'kelebihan', 'lendir', 'keputihan', 'mencegah', 'menghilangkan', 'bau', 'sedap', 'kewanitaan', 'menghilangkan', 'bau', 'badan', 'mengencangkan', 'otot²', 'kewanitaan', 'melahirkan', 'mengembalikan', 'kegadisan', 'keperawanan', 'dianjurkan', 'diminum', 'haidmasa', 'nifas']","['gairah', 'hubung', 'suami', 'istri', 'serap', 'lebih', 'lendir', 'putih', 'cegah', 'hilang', 'bau', 'sedap', 'wanita', 'hilang', 'bau', 'badan', 'encang', 'otot', 'wanita', 'lahir', 'kembali', 'gadis', 'perawan', 'anjur', 'minum', 'haidmasa', 'nifas']"
galian rapet awet muda,"Menggairahkan kembali hubungan suami istri, Menyerap kelebihan lendir (keputihan), Mencegah dan menghilangkan bau tidak sedap pada bagian kewanitaan dan menghilangkan bau badan, Dapat dikonsumsi oleh gadis / remaja, Mengembalikan kegadisan / keperawanan, Tidak dianjurkan diminum ketika sedang masa haid/masa nifas",Karya Ibu Abdullah,Jamu Pasutri,314,"menggairahkan kembali hubungan suami istri, menyerap kelebihan lendir (keputihan), mencegah dan menghilangkan bau tidak sedap pada bagian kewanitaan dan menghilangkan bau badan, dapat dikonsumsi oleh gadis / remaja, mengembalikan kegadisan / keperawanan, tidak dianjurkan diminum ketika sedang masa haid/masa nifas",menggairahkan kembali hubungan suami istri menyerap kelebihan lendir keputihan mencegah dan menghilangkan bau tidak sedap pada bagian kewanitaan dan menghilangkan bau badan dapat dikonsumsi oleh gadis  remaja mengembalikan kegadisan  keperawanan tidak dianjurkan diminum ketika sedang masa haidmasa nifas,"['menggairahkan', 'kembali', 'hubungan', 'suami', 'istri', 'menyerap', 'kelebihan', 'lendir', 'keputihan', 'mencegah', 'dan', 'menghilangkan', 'bau', 'tidak', 'sedap', 'pada', 'bagian', 'kewanitaan', 'dan', 'menghilangkan', 'bau', 'badan', 'dapat', 'dikonsumsi', 'oleh', 'gadis', 'remaja', 'mengembalikan', 'kegadisan', 'keperawanan', 'tidak', 'dianjurkan', 'diminum', 'ketika', 'sedang', 'masa', 'haidmasa', 'nifas']","['menggairahkan', 'hubungan', 'suami', 'istri', 'menyerap', 'kelebihan', 'lendir', 'keputihan', 'mencegah', 'menghilangkan', 'bau', 'sedap', 'kewanitaan', 'menghilangkan', 'bau', 'badan', 'dikonsumsi', 'gadis', 'remaja', 'mengembalikan', 'kegadisan', 'keperawanan', 'dianjurkan', 'diminum', 'haidmasa', 'nifas']","['gairah', 'hubung', 'suami', 'istri', 'serap', 'lebih', 'lendir', 'putih', 'cegah', 'hilang', 'bau', 'sedap', 'wanita', 'hilang', 'bau', 'badan', 'konsumsi', 'gadis', 'remaja', 'kembali', 'gadis', 'perawan', 'anjur', 'minum', 'haidmasa', 'nifas']"
serbuk nikmat surga,"Menambah rasa kenikmatan dalam bersetubuh, Menggairahkan kembali hubungan suami istri, Menyerap kelebihan lendir (keputihan), Menghilangkan bau tidak sedap pada bagian kewanitaan, Tidak dianjurkan diminum ketika sedang masa haid/masa nifas",Karya Ibu Abdullah,Jamu Pasutri,239,"menambah rasa kenikmatan dalam bersetubuh, menggairahkan kembali hubungan suami istri, menyerap kelebihan lendir (keputihan), menghilangkan bau tidak sedap pada bagian kewanitaan, tidak dianjurkan diminum ketika sedang masa haid/masa nifas",menambah rasa kenikmatan dalam bersetubuh menggairahkan kembali hubungan suami istri menyerap kelebihan lendir keputihan menghilangkan bau tidak sedap pada bagian kewanitaan tidak dianjurkan diminum ketika sedang masa haidmasa nifas,"['menambah', 'rasa', 'kenikmatan', 'dalam', 'bersetubuh', 'menggairahkan', 'kembali', 'hubungan', 'suami', 'istri', 'menyerap', 'kelebihan', 'lendir', 'keputihan', 'menghilangkan', 'bau', 'tidak', 'sedap', 'pada', 'bagian', 'kewanitaan', 'tidak', 'dianjurkan', 'diminum', 'ketika', 'sedang', 'masa', 'haidmasa', 'nifas']","['menambah', 'kenikmatan', 'bersetubuh', 'menggairahkan', 'hubungan', 'suami', 'istri', 'menyerap', 'kelebihan', 'lendir', 'keputihan', 'menghilangkan', 'bau', 'sedap', 'kewanitaan', 'dianjurkan', 'diminum', 'haidmasa', 'nifas']","['tambah', 'nikmat', 'tubuh', 'gairah', 'hubung', 'suami', 'istri', 'serap', 'lebih', 'lendir', 'putih', 'hilang', 'bau', 'sedap', 'wanita', 'anjur', 'minum', 'haidmasa', 'nifas']"
Bedak madu,"Mengangkat sel² kulit mati, Mencegah timbulnya jerawat, Menghilangkan flek hitam di wajah, Menghilangkan mata panda, menghilangkan biang keringat",Karya Ibu Abdullah,Jamu Kesehatan,145,"mengangkat sel² kulit mati, mencegah timbulnya jerawat, menghilangkan flek hitam di wajah, menghilangkan mata panda, menghilangkan biang keringat",mengangkat sel² kulit mati mencegah timbulnya jerawat menghilangkan flek hitam di wajah menghilangkan mata panda menghilangkan biang keringat,"['mengangkat', 'sel²', 'kulit', 'mati', 'mencegah', 'timbulnya', 'jerawat', 'menghilangkan', 'flek', 'hitam', 'di', 'wajah', 'menghilangkan', 'mata', 'panda', 'menghilangkan', 'biang', 'keringat']","['mengangkat', 'sel²', 'kulit', 'mati', 'mencegah', 'timbulnya', 'jerawat', 'menghilangkan', 'flek', 'hitam', 'wajah', 'menghilangkan', 'mata', 'panda', 'menghilangkan', 'biang', 'keringat']","['angkat', 'sel', 'kulit', 'mati', 'cegah', 'timbul', 'jerawat', 'hilang', 'flek', 'hitam', 'wajah', 'hilang', 'mata', 'panda', 'hilang', 'biang', 'keringat']"
Gemuk Sehat,"Menambah nafsu makan, Membersihkan jerawat, Menghaluskan kulit, Menghilangkan bau mulut dan bau badan, Membuat tubuh padat berisi (montok), Menambah semangat kerja",Karya Ibu Abdullah,Jamu Kesehatan,163,"menambah nafsu makan, membersihkan jerawat, menghaluskan kulit, menghilangkan bau mulut dan bau badan, membuat tubuh padat berisi (montok), menambah semangat kerja",menambah nafsu makan membersihkan jerawat menghaluskan kulit menghilangkan bau mulut dan bau badan membuat tubuh padat berisi montok menambah semangat kerja,"['menambah', 'nafsu', 'makan', 'membersihkan', 'jerawat', 'menghaluskan', 'kulit', 'menghilangkan', 'bau', 'mulut', 'dan', 'bau', 'badan', 'membuat', 'tubuh', 'padat', 'berisi', 'montok', 'menambah', 'semangat', 'kerja']","['menambah', 'nafsu', 'makan', 'membersihkan', 'jerawat', 'menghaluskan', 'kulit', 'menghilangkan', 'bau', 'mulut', 'bau', 'badan', 'tubuh', 'padat', 'berisi', 'montok', 'menambah', 'semangat', 'kerja']","['tambah', 'nafsu', 'makan', 'bersih', 'jerawat', 'halus', 'kulit', 'hilang', 'bau', 'mulut', 'bau', 'badan', 'tubuh', 'padat', 'isi', 'montok', 'tambah', 'semangat', 'kerja']"
