Kategori,Nama,Khasiat,Produsen,Case_folding,punctuation_removal,tokenizing,stopwordremoval,stemming
Jamu Perawatan Kewanitaan,harum asmara,"Merapatkan & melunturkan miss v, mengatasi bau tidak sedap, serta gatal gatal di organ intim, mengatasi cairan berlebihan, mengharumkan area vagina, menyembuhkan keputihan",PT. Firdaus,"merapatkan & melunturkan miss v, mengatasi bau tidak sedap, serta gatal gatal di organ intim, mengatasi cairan berlebihan, mengharumkan area vagina, menyembuhkan keputihan",merapatkan  melunturkan miss v mengatasi bau tidak sedap serta gatal gatal di organ intim mengatasi cairan berlebihan mengharumkan area vagina menyembuhkan keputihan,"['merapatkan', 'melunturkan', 'miss', 'v', 'mengatasi', 'bau', 'tidak', 'sedap', 'serta', 'gatal', 'gatal', 'di', 'organ', 'intim', 'mengatasi', 'cairan', 'berlebihan', 'mengharumkan', 'area', 'vagina', 'menyembuhkan', 'keputihan']","['merapatkan', 'melunturkan', 'miss', 'v', 'mengatasi', 'bau', 'sedap', 'gatal', 'gatal', 'organ', 'intim', 'mengatasi', 'cairan', 'mengharumkan', 'area', 'vagina', 'menyembuhkan', 'keputihan']","['rapat', 'luntur', 'miss', 'v', 'atas', 'bau', 'sedap', 'gatal', 'gatal', 'organ', 'intim', 'atas', 'cair', 'harum', 'area', 'vagina', 'sembuh', 'putih']"
Jamu Perawatan Kewanitaan,Jamu sehat wanita,"Menambah stamina, menjaga kesehatan tubuh khusus wanita",PT. Firdaus,"menambah stamina, menjaga kesehatan tubuh khusus wanita",menambah stamina menjaga kesehatan tubuh khusus wanita,"['menambah', 'stamina', 'menjaga', 'kesehatan', 'tubuh', 'khusus', 'wanita']","['menambah', 'stamina', 'menjaga', 'kesehatan', 'tubuh', 'khusus', 'wanita']","['tambah', 'stamina', 'jaga', 'sehat', 'tubuh', 'khusus', 'wanita']"
Jamu Perawatan Kewanitaan,galian singset,"Mengurangi kelebihan lemak pada bagian perut, paha dan kaki. Mengecilkan Perut dan Menjaga bentuk tubuh Ideal ,Meningkatkan hormon tubuh pada bagian kewanitaan.  Mencerahkan, menyegarkan kulit dan Mengencangkan kulit  Menjaga Penampilan selalu Awet Muda, Menghilangkan aroma badan yang tidak sedap sehingga tubuh jadi harum dan wangi ,Membuat tampil seksi & percaya diri",PT. Firdaus,"mengurangi kelebihan lemak pada bagian perut, paha dan kaki. mengecilkan perut dan menjaga bentuk tubuh ideal ,meningkatkan hormon tubuh pada bagian kewanitaan.  mencerahkan, menyegarkan kulit dan mengencangkan kulit  menjaga penampilan selalu awet muda, menghilangkan aroma badan yang tidak sedap sehingga tubuh jadi harum dan wangi ,membuat tampil seksi & percaya diri",mengurangi kelebihan lemak pada bagian perut paha dan kaki mengecilkan perut dan menjaga bentuk tubuh ideal meningkatkan hormon tubuh pada bagian kewanitaan  mencerahkan menyegarkan kulit dan mengencangkan kulit  menjaga penampilan selalu awet muda menghilangkan aroma badan yang tidak sedap sehingga tubuh jadi harum dan wangi membuat tampil seksi  percaya diri,"['mengurangi', 'kelebihan', 'lemak', 'pada', 'bagian', 'perut', 'paha', 'dan', 'kaki', 'mengecilkan', 'perut', 'dan', 'menjaga', 'bentuk', 'tubuh', 'ideal', 'meningkatkan', 'hormon', 'tubuh', 'pada', 'bagian', 'kewanitaan', 'mencerahkan', 'menyegarkan', 'kulit', 'dan', 'mengencangkan', 'kulit', 'menjaga', 'penampilan', 'selalu', 'awet', 'muda', 'menghilangkan', 'aroma', 'badan', 'yang', 'tidak', 'sedap', 'sehingga', 'tubuh', 'jadi', 'harum', 'dan', 'wangi', 'membuat', 'tampil', 'seksi', 'percaya', 'diri']","['mengurangi', 'kelebihan', 'lemak', 'perut', 'paha', 'kaki', 'mengecilkan', 'perut', 'menjaga', 'bentuk', 'tubuh', 'ideal', 'meningkatkan', 'hormon', 'tubuh', 'kewanitaan', 'mencerahkan', 'menyegarkan', 'kulit', 'mengencangkan', 'kulit', 'menjaga', 'penampilan', 'awet', 'muda', 'menghilangkan', 'aroma', 'badan', 'sedap', 'tubuh', 'harum', 'wangi', 'tampil', 'seksi', 'percaya']","['kurang', 'lebih', 'lemak', 'perut', 'paha', 'kaki', 'kecil', 'perut', 'jaga', 'bentuk', 'tubuh', 'ideal', 'tingkat', 'hormon', 'tubuh', 'wanita', 'cerah', 'segar', 'kulit', 'encang', 'kulit', 'jaga', 'tampil', 'awet', 'muda', 'hilang', 'aroma', 'badan', 'sedap', 'tubuh', 'harum', 'wangi', 'tampil', 'seksi', 'percaya']"
Jamu Perawatan Kewanitaan,penyubur ,"menguatkan rahim, menambah hormon menyuburkan kandungan",PT. Firdaus,"menguatkan rahim, menambah hormon menyuburkan kandungan",menguatkan rahim menambah hormon menyuburkan kandungan,"['menguatkan', 'rahim', 'menambah', 'hormon', 'menyuburkan', 'kandungan']","['menguatkan', 'rahim', 'menambah', 'hormon', 'menyuburkan', 'kandungan']","['kuat', 'rahim', 'tambah', 'hormon', 'subur', 'kandung']"
Jamu Perawatan Kewanitaan,bersalin kapsul,"Mempercepat penyembuhan luka melahirkan, Membersihkan rahim, Mengurangi bau tak sedap, Memulihkan stamina & vitalitas,Kulit kendur jadi singset,Organ Kewanitaan kembali RAPET & KESET",PT. Firdaus,"mempercepat penyembuhan luka melahirkan, membersihkan rahim, mengurangi bau tak sedap, memulihkan stamina & vitalitas,kulit kendur jadi singset,organ kewanitaan kembali rapet & keset",mempercepat penyembuhan luka melahirkan membersihkan rahim mengurangi bau tak sedap memulihkan stamina  vitalitaskulit kendur jadi singsetorgan kewanitaan kembali rapet  keset,"['mempercepat', 'penyembuhan', 'luka', 'melahirkan', 'membersihkan', 'rahim', 'mengurangi', 'bau', 'tak', 'sedap', 'memulihkan', 'stamina', 'vitalitaskulit', 'kendur', 'jadi', 'singsetorgan', 'kewanitaan', 'kembali', 'rapet', 'keset']","['mempercepat', 'penyembuhan', 'luka', 'melahirkan', 'membersihkan', 'rahim', 'mengurangi', 'bau', 'sedap', 'memulihkan', 'stamina', 'vitalitaskulit', 'kendur', 'singsetorgan', 'kewanitaan', 'rapet', 'keset']","['cepat', 'sembuh', 'luka', 'lahir', 'bersih', 'rahim', 'kurang', 'bau', 'sedap', 'pulih', 'stamina', 'vitalitaskulit', 'kendur', 'singsetorgan', 'wanita', 'rapet', 'keset']"
Jamu Perawatan Kewanitaan,bersalin bubuk," Menuntaskan darah kotor. ,Menyehatkan ibu dn bayi yang dilahirkan , Melancarkan asi ",PT. Firdaus," menuntaskan darah kotor. ,menyehatkan ibu dn bayi yang dilahirkan , melancarkan asi ", menuntaskan darah kotor menyehatkan ibu dn bayi yang dilahirkan  melancarkan asi ,"['menuntaskan', 'darah', 'kotor', 'menyehatkan', 'ibu', 'dn', 'bayi', 'yang', 'dilahirkan', 'melancarkan', 'asi']","['menuntaskan', 'darah', 'kotor', 'menyehatkan', 'dn', 'bayi', 'dilahirkan', 'melancarkan', 'asi']","['tuntas', 'darah', 'kotor', 'sehat', 'dn', 'bayi', 'lahir', 'lancar', 'asi']"
Jamu Perawatan Kewanitaan,jamu paket penganten,"mengharumkan bau badan, mengurangi keringat berlebihan, menyembuhkan keputihan, mengencangkan otot kewanitaan.",PT. Firdaus,"mengharumkan bau badan, mengurangi keringat berlebihan, menyembuhkan keputihan, mengencangkan otot kewanitaan.",mengharumkan bau badan mengurangi keringat berlebihan menyembuhkan keputihan mengencangkan otot kewanitaan,"['mengharumkan', 'bau', 'badan', 'mengurangi', 'keringat', 'berlebihan', 'menyembuhkan', 'keputihan', 'mengencangkan', 'otot', 'kewanitaan']","['mengharumkan', 'bau', 'badan', 'mengurangi', 'keringat', 'menyembuhkan', 'keputihan', 'mengencangkan', 'otot', 'kewanitaan']","['harum', 'bau', 'badan', 'kurang', 'keringat', 'sembuh', 'putih', 'encang', 'otot', 'wanita']"
Jamu Kesehatan,lulur susu,"Membantu memutihkan, menghaluskan serta membersihkan dan mengharumkan kulit tubuh anda secara alami.",PT. Firdaus,"membantu memutihkan, menghaluskan serta membersihkan dan mengharumkan kulit tubuh anda secara alami.",membantu memutihkan menghaluskan serta membersihkan dan mengharumkan kulit tubuh anda secara alami,"['membantu', 'memutihkan', 'menghaluskan', 'serta', 'membersihkan', 'dan', 'mengharumkan', 'kulit', 'tubuh', 'anda', 'secara', 'alami']","['membantu', 'memutihkan', 'menghaluskan', 'membersihkan', 'mengharumkan', 'kulit', 'tubuh', 'alami']","['bantu', 'mutih', 'halus', 'bersih', 'harum', 'kulit', 'tubuh', 'alami']"
Jamu Perawatan Kewanitaan,vitmil,Membantu memelihara kesehatan wanita dan membantu menyegarkan badan,PT. Firdaus,membantu memelihara kesehatan wanita dan membantu menyegarkan badan,membantu memelihara kesehatan wanita dan membantu menyegarkan badan,"['membantu', 'memelihara', 'kesehatan', 'wanita', 'dan', 'membantu', 'menyegarkan', 'badan']","['membantu', 'memelihara', 'kesehatan', 'wanita', 'membantu', 'menyegarkan', 'badan']","['bantu', 'pelihara', 'sehat', 'wanita', 'bantu', 'segar', 'badan']"
Jamu Perawatan Kewanitaan,Jamu singset,"Membikin singset, Merapatkan, Melangsingkan, Menyehatkan Badan",IBU MASTURAH,"membikin singset, merapatkan, melangsingkan, menyehatkan badan",membikin singset merapatkan melangsingkan menyehatkan badan,"['membikin', 'singset', 'merapatkan', 'melangsingkan', 'menyehatkan', 'badan']","['membikin', 'singset', 'merapatkan', 'melangsingkan', 'menyehatkan', 'badan']","['bikin', 'singset', 'rapat', 'langsing', 'sehat', 'badan']"
Jamu Perawatan Kewanitaan,Parem Bangkes,"Untuk mengembalikan kulit kendur wanita , dan menghangatkan, untuk kecantikan wanita",IBU MASTURAH,"untuk mengembalikan kulit kendur wanita , dan menghangatkan, untuk kecantikan wanita",untuk mengembalikan kulit kendur wanita  dan menghangatkan untuk kecantikan wanita,"['untuk', 'mengembalikan', 'kulit', 'kendur', 'wanita', 'dan', 'menghangatkan', 'untuk', 'kecantikan', 'wanita']","['mengembalikan', 'kulit', 'kendur', 'wanita', 'menghangatkan', 'kecantikan', 'wanita']","['kembali', 'kulit', 'kendur', 'wanita', 'hangat', 'cantik', 'wanita']"
Jamu Perawatan Kewanitaan,Jamu Pejja,"memperlancar produksi ASI, mengembalikan organ reproduksi seperti sebelum hamil, menyehatkan ibu dan bayi serta membuat ibu yang baru melahirkan tetap awet muda",IBU MASTURAH,"memperlancar produksi asi, mengembalikan organ reproduksi seperti sebelum hamil, menyehatkan ibu dan bayi serta membuat ibu yang baru melahirkan tetap awet muda",memperlancar produksi asi mengembalikan organ reproduksi seperti sebelum hamil menyehatkan ibu dan bayi serta membuat ibu yang baru melahirkan tetap awet muda,"['memperlancar', 'produksi', 'asi', 'mengembalikan', 'organ', 'reproduksi', 'seperti', 'sebelum', 'hamil', 'menyehatkan', 'ibu', 'dan', 'bayi', 'serta', 'membuat', 'ibu', 'yang', 'baru', 'melahirkan', 'tetap', 'awet', 'muda']","['memperlancar', 'produksi', 'asi', 'mengembalikan', 'organ', 'reproduksi', 'hamil', 'menyehatkan', 'bayi', 'melahirkan', 'awet', 'muda']","['lancar', 'produksi', 'asi', 'kembali', 'organ', 'reproduksi', 'hamil', 'sehat', 'bayi', 'lahir', 'awet', 'muda']"
Jamu Perawatan Kewanitaan,Ganita-V (Rukun Wanita),"Membantu mengurangi lendir yang berlebihan pada daerah kewanitaan, untuk para ibu yang sering mengalami kegagalan dalam berhubungan seperti keputihan, kelelahan, stress . Menghilangkan bau yang tidak enak, mengencangkan otot kewanitaan dan menyembuhkan keputihan",ribkah maryam jokotole,"membantu mengurangi lendir yang berlebihan pada daerah kewanitaan, untuk para ibu yang sering mengalami kegagalan dalam berhubungan seperti keputihan, kelelahan, stress . menghilangkan bau yang tidak enak, mengencangkan otot kewanitaan dan menyembuhkan keputihan",membantu mengurangi lendir yang berlebihan pada daerah kewanitaan untuk para ibu yang sering mengalami kegagalan dalam berhubungan seperti keputihan kelelahan stress  menghilangkan bau yang tidak enak mengencangkan otot kewanitaan dan menyembuhkan keputihan,"['membantu', 'mengurangi', 'lendir', 'yang', 'berlebihan', 'pada', 'daerah', 'kewanitaan', 'untuk', 'para', 'ibu', 'yang', 'sering', 'mengalami', 'kegagalan', 'dalam', 'berhubungan', 'seperti', 'keputihan', 'kelelahan', 'stress', 'menghilangkan', 'bau', 'yang', 'tidak', 'enak', 'mengencangkan', 'otot', 'kewanitaan', 'dan', 'menyembuhkan', 'keputihan']","['membantu', 'mengurangi', 'lendir', 'daerah', 'kewanitaan', 'mengalami', 'kegagalan', 'berhubungan', 'keputihan', 'kelelahan', 'stress', 'menghilangkan', 'bau', 'enak', 'mengencangkan', 'otot', 'kewanitaan', 'menyembuhkan', 'keputihan']","['bantu', 'kurang', 'lendir', 'daerah', 'wanita', 'alami', 'gagal', 'hubung', 'putih', 'lelah', 'stress', 'hilang', 'bau', 'enak', 'encang', 'otot', 'wanita', 'sembuh', 'putih']"
Jamu Perawatan Kewanitaan,Lancar Bulan (Nifas/Pluntur),Membantu melancarkan nyeri haid dan meredakan nyeri haid.,ribkah maryam jokotole,membantu melancarkan nyeri haid dan meredakan nyeri haid.,membantu melancarkan nyeri haid dan meredakan nyeri haid,"['membantu', 'melancarkan', 'nyeri', 'haid', 'dan', 'meredakan', 'nyeri', 'haid']","['membantu', 'melancarkan', 'nyeri', 'haid', 'meredakan', 'nyeri', 'haid']","['bantu', 'lancar', 'nyeri', 'haid', 'reda', 'nyeri', 'haid']"
Jamu Perawatan Kewanitaan,Sepet Wangi (Sari Wangi),"Membantu mengurangi lendir berlebih di area kewanitaan. Menghilangkan bau badan yang ditimbulkan dari keringat, menghilangkan bau mulut, menyuburkan pertumbuhan kulit.",ribkah maryam jokotole,"membantu mengurangi lendir berlebih di area kewanitaan. menghilangkan bau badan yang ditimbulkan dari keringat, menghilangkan bau mulut, menyuburkan pertumbuhan kulit.",membantu mengurangi lendir berlebih di area kewanitaan menghilangkan bau badan yang ditimbulkan dari keringat menghilangkan bau mulut menyuburkan pertumbuhan kulit,"['membantu', 'mengurangi', 'lendir', 'berlebih', 'di', 'area', 'kewanitaan', 'menghilangkan', 'bau', 'badan', 'yang', 'ditimbulkan', 'dari', 'keringat', 'menghilangkan', 'bau', 'mulut', 'menyuburkan', 'pertumbuhan', 'kulit']","['membantu', 'mengurangi', 'lendir', 'berlebih', 'area', 'kewanitaan', 'menghilangkan', 'bau', 'badan', 'ditimbulkan', 'keringat', 'menghilangkan', 'bau', 'mulut', 'menyuburkan', 'pertumbuhan', 'kulit']","['bantu', 'kurang', 'lendir', 'lebih', 'area', 'wanita', 'hilang', 'bau', 'badan', 'timbul', 'keringat', 'hilang', 'bau', 'mulut', 'subur', 'tumbuh', 'kulit']"
Jamu Pasutri,GL- Rapet Madura ( Galian Rapet),"Mengatasi bau badan, Membantu mengurangi keputihan, menghilangkan lendir dan bau tidak enak pada area kewanitaan. Merapatkan dan mengecilkan vagina. Menambah gairah sex.",ribkah maryam jokotole,"mengatasi bau badan, membantu mengurangi keputihan, menghilangkan lendir dan bau tidak enak pada area kewanitaan. merapatkan dan mengecilkan vagina. menambah gairah sex.",mengatasi bau badan membantu mengurangi keputihan menghilangkan lendir dan bau tidak enak pada area kewanitaan merapatkan dan mengecilkan vagina menambah gairah sex,"['mengatasi', 'bau', 'badan', 'membantu', 'mengurangi', 'keputihan', 'menghilangkan', 'lendir', 'dan', 'bau', 'tidak', 'enak', 'pada', 'area', 'kewanitaan', 'merapatkan', 'dan', 'mengecilkan', 'vagina', 'menambah', 'gairah', 'sex']","['mengatasi', 'bau', 'badan', 'membantu', 'mengurangi', 'keputihan', 'menghilangkan', 'lendir', 'bau', 'enak', 'area', 'kewanitaan', 'merapatkan', 'mengecilkan', 'vagina', 'menambah', 'gairah', 'sex']","['atas', 'bau', 'badan', 'bantu', 'kurang', 'putih', 'hilang', 'lendir', 'bau', 'enak', 'area', 'wanita', 'rapat', 'kecil', 'vagina', 'tambah', 'gairah', 'sex']"
Jamu Perawatan Kewanitaan,Bengkes (Empot - Empot),"Membantu menyegarkan badan, membantu mengurangi lendir berlebih pada area kewanitaan.",ribkah maryam jokotole,"membantu menyegarkan badan, membantu mengurangi lendir berlebih pada area kewanitaan.",membantu menyegarkan badan membantu mengurangi lendir berlebih pada area kewanitaan,"['membantu', 'menyegarkan', 'badan', 'membantu', 'mengurangi', 'lendir', 'berlebih', 'pada', 'area', 'kewanitaan']","['membantu', 'menyegarkan', 'badan', 'membantu', 'mengurangi', 'lendir', 'berlebih', 'area', 'kewanitaan']","['bantu', 'segar', 'badan', 'bantu', 'kurang', 'lendir', 'lebih', 'area', 'wanita']"
Jamu Perawatan Kewanitaan,Wangibungai (Keputihan),membantu mengurangi lendir yang berlebihan pada daerah kewanitaan.,ribkah maryam jokotole,membantu mengurangi lendir yang berlebihan pada daerah kewanitaan.,membantu mengurangi lendir yang berlebihan pada daerah kewanitaan,"['membantu', 'mengurangi', 'lendir', 'yang', 'berlebihan', 'pada', 'daerah', 'kewanitaan']","['membantu', 'mengurangi', 'lendir', 'daerah', 'kewanitaan']","['bantu', 'kurang', 'lendir', 'daerah', 'wanita']"
Jamu Kesehatan,Sehat Lelaqi,"Membantu menyehatkan badan dan meredakan pegal linu, nyeri otot pinggang, melancarkan peredaran darah.",ribkah maryam jokotole,"membantu menyehatkan badan dan meredakan pegal linu, nyeri otot pinggang, melancarkan peredaran darah.",membantu menyehatkan badan dan meredakan pegal linu nyeri otot pinggang melancarkan peredaran darah,"['membantu', 'menyehatkan', 'badan', 'dan', 'meredakan', 'pegal', 'linu', 'nyeri', 'otot', 'pinggang', 'melancarkan', 'peredaran', 'darah']","['membantu', 'menyehatkan', 'badan', 'meredakan', 'pegal', 'linu', 'nyeri', 'otot', 'pinggang', 'melancarkan', 'peredaran', 'darah']","['bantu', 'sehat', 'badan', 'reda', 'pegal', 'linu', 'nyeri', 'otot', 'pinggang', 'lancar', 'edar', 'darah']"
Jamu Perawatan Kewanitaan,Timung Penganten,Untuk Menyegarkan dan mengharumkan Tubuh Wanita,berkah madu/sumber madu,untuk menyegarkan dan mengharumkan tubuh wanita,untuk menyegarkan dan mengharumkan tubuh wanita,"['untuk', 'menyegarkan', 'dan', 'mengharumkan', 'tubuh', 'wanita']","['menyegarkan', 'mengharumkan', 'tubuh', 'wanita']","['segar', 'harum', 'tubuh', 'wanita']"
Jamu Perawatan Kewanitaan,Sabun Sari Rapet,Menjaga kebersihan Vagina,berkah madu/sumber madu,menjaga kebersihan vagina,menjaga kebersihan vagina,"['menjaga', 'kebersihan', 'vagina']","['menjaga', 'kebersihan', 'vagina']","['jaga', 'bersih', 'vagina']"
Jamu Perawatan Kewanitaan,Majasmara,"mengencangkan wajah dan kulit, Mengencangkan payudara, Mengencangkan otot - otot kewanitaan, Melancarkan haid.",berkah madu/sumber madu,"mengencangkan wajah dan kulit, mengencangkan payudara, mengencangkan otot - otot kewanitaan, melancarkan haid.",mengencangkan wajah dan kulit mengencangkan payudara mengencangkan otot  otot kewanitaan melancarkan haid,"['mengencangkan', 'wajah', 'dan', 'kulit', 'mengencangkan', 'payudara', 'mengencangkan', 'otot', 'otot', 'kewanitaan', 'melancarkan', 'haid']","['mengencangkan', 'wajah', 'kulit', 'mengencangkan', 'payudara', 'mengencangkan', 'otot', 'otot', 'kewanitaan', 'melancarkan', 'haid']","['encang', 'wajah', 'kulit', 'encang', 'payudara', 'encang', 'otot', 'otot', 'wanita', 'lancar', 'haid']"
Jamu Kesehatan,Minyak Jinten Hitam,"Meningkatkan kekebalan Tubuh terhadap penyakit, mengobati rematik, mengobati asma.",berkah madu/sumber madu,"meningkatkan kekebalan tubuh terhadap penyakit, mengobati rematik, mengobati asma.",meningkatkan kekebalan tubuh terhadap penyakit mengobati rematik mengobati asma,"['meningkatkan', 'kekebalan', 'tubuh', 'terhadap', 'penyakit', 'mengobati', 'rematik', 'mengobati', 'asma']","['meningkatkan', 'kekebalan', 'tubuh', 'penyakit', 'mengobati', 'rematik', 'mengobati', 'asma']","['tingkat', 'kebal', 'tubuh', 'sakit', 'obat', 'rematik', 'obat', 'asma']"
Jamu Kesehatan,Minyak Zaitun,"Meredakan Batuk, Memperkuat stamina dan mencegah kanker, mengobati kencing manis, mencegah gangguan pencernaan, mengobati cacing dalam perut,.",berkah madu/sumber madu,"meredakan batuk, memperkuat stamina dan mencegah kanker, mengobati kencing manis, mencegah gangguan pencernaan, mengobati cacing dalam perut,.",meredakan batuk memperkuat stamina dan mencegah kanker mengobati kencing manis mencegah gangguan pencernaan mengobati cacing dalam perut,"['meredakan', 'batuk', 'memperkuat', 'stamina', 'dan', 'mencegah', 'kanker', 'mengobati', 'kencing', 'manis', 'mencegah', 'gangguan', 'pencernaan', 'mengobati', 'cacing', 'dalam', 'perut']","['meredakan', 'batuk', 'memperkuat', 'stamina', 'mencegah', 'kanker', 'mengobati', 'kencing', 'manis', 'mencegah', 'gangguan', 'pencernaan', 'mengobati', 'cacing', 'perut']","['reda', 'batuk', 'kuat', 'stamina', 'cegah', 'kanker', 'obat', 'kencing', 'manis', 'cegah', 'ganggu', 'cerna', 'obat', 'cacing', 'perut']"
Jamu Perawatan Kewanitaan,Propolis,"Meningkatkan Kekebalan Tubuh, melancarkan peredaran darah, menambah sistem hormon, untuk kesuburan wanita.",berkah madu/sumber madu,"meningkatkan kekebalan tubuh, melancarkan peredaran darah, menambah sistem hormon, untuk kesuburan wanita.",meningkatkan kekebalan tubuh melancarkan peredaran darah menambah sistem hormon untuk kesuburan wanita,"['meningkatkan', 'kekebalan', 'tubuh', 'melancarkan', 'peredaran', 'darah', 'menambah', 'sistem', 'hormon', 'untuk', 'kesuburan', 'wanita']","['meningkatkan', 'kekebalan', 'tubuh', 'melancarkan', 'peredaran', 'darah', 'menambah', 'sistem', 'hormon', 'kesuburan', 'wanita']","['tingkat', 'kebal', 'tubuh', 'lancar', 'edar', 'darah', 'tambah', 'sistem', 'hormon', 'subur', 'wanita']"
Jamu Perawatan Kewanitaan,Lulur Hitam Tradisional,"Mencerahkan kulit wanita, Menghaluskan Kulit, Menghilangkan Flek hitam pada wajah, Menghilangkan Stretch mark",PT. Firdaus,"mencerahkan kulit wanita, menghaluskan kulit, menghilangkan flek hitam pada wajah, menghilangkan stretch mark",mencerahkan kulit wanita menghaluskan kulit menghilangkan flek hitam pada wajah menghilangkan stretch mark,"['mencerahkan', 'kulit', 'wanita', 'menghaluskan', 'kulit', 'menghilangkan', 'flek', 'hitam', 'pada', 'wajah', 'menghilangkan', 'stretch', 'mark']","['mencerahkan', 'kulit', 'wanita', 'menghaluskan', 'kulit', 'menghilangkan', 'flek', 'hitam', 'wajah', 'menghilangkan', 'stretch', 'mark']","['cerah', 'kulit', 'wanita', 'halus', 'kulit', 'hilang', 'flek', 'hitam', 'wajah', 'hilang', 'stretch', 'mark']"
Jamu Perawatan Kewanitaan,Empot Ayam Madura Super,"Membantu memperkuat Otot vagina, membuat denyut nikmat dan istimewa pada vagina , membantu mengeraskan otot vagina, supaya tidak longgar, membantu mengurangi keputihan dan gatal gatal pada alat kelamin wanita",ribkah maryam jokotole,"membantu memperkuat otot vagina, membuat denyut nikmat dan istimewa pada vagina , membantu mengeraskan otot vagina, supaya tidak longgar, membantu mengurangi keputihan dan gatal gatal pada alat kelamin wanita",membantu memperkuat otot vagina membuat denyut nikmat dan istimewa pada vagina  membantu mengeraskan otot vagina supaya tidak longgar membantu mengurangi keputihan dan gatal gatal pada alat kelamin wanita,"['membantu', 'memperkuat', 'otot', 'vagina', 'membuat', 'denyut', 'nikmat', 'dan', 'istimewa', 'pada', 'vagina', 'membantu', 'mengeraskan', 'otot', 'vagina', 'supaya', 'tidak', 'longgar', 'membantu', 'mengurangi', 'keputihan', 'dan', 'gatal', 'gatal', 'pada', 'alat', 'kelamin', 'wanita']","['membantu', 'memperkuat', 'otot', 'vagina', 'denyut', 'nikmat', 'istimewa', 'vagina', 'membantu', 'mengeraskan', 'otot', 'vagina', 'longgar', 'membantu', 'mengurangi', 'keputihan', 'gatal', 'gatal', 'alat', 'kelamin', 'wanita']","['bantu', 'kuat', 'otot', 'vagina', 'denyut', 'nikmat', 'istimewa', 'vagina', 'bantu', 'keras', 'otot', 'vagina', 'longgar', 'bantu', 'kurang', 'putih', 'gatal', 'gatal', 'alat', 'kelamin', 'wanita']"
Jamu Pasutri,Tongkat Asli madura Premium Rose,"Mengangkat Lendir dan kotoran yang ada di dalam miss V, menjadikan miss V rapat, kencang dan bersih, mengatasi keputihan , memperkuat otot - otot kewanitaan, Menghilangkan gatal - gatal akibat jamur, memuaskan pasangan",ribkah maryam jokotole,"mengangkat lendir dan kotoran yang ada di dalam miss v, menjadikan miss v rapat, kencang dan bersih, mengatasi keputihan , memperkuat otot - otot kewanitaan, menghilangkan gatal - gatal akibat jamur, memuaskan pasangan",mengangkat lendir dan kotoran yang ada di dalam miss v menjadikan miss v rapat kencang dan bersih mengatasi keputihan  memperkuat otot  otot kewanitaan menghilangkan gatal  gatal akibat jamur memuaskan pasangan,"['mengangkat', 'lendir', 'dan', 'kotoran', 'yang', 'ada', 'di', 'dalam', 'miss', 'v', 'menjadikan', 'miss', 'v', 'rapat', 'kencang', 'dan', 'bersih', 'mengatasi', 'keputihan', 'memperkuat', 'otot', 'otot', 'kewanitaan', 'menghilangkan', 'gatal', 'gatal', 'akibat', 'jamur', 'memuaskan', 'pasangan']","['mengangkat', 'lendir', 'kotoran', 'miss', 'v', 'menjadikan', 'miss', 'v', 'rapat', 'kencang', 'bersih', 'mengatasi', 'keputihan', 'memperkuat', 'otot', 'otot', 'kewanitaan', 'menghilangkan', 'gatal', 'gatal', 'akibat', 'jamur', 'memuaskan', 'pasangan']","['angkat', 'lendir', 'kotor', 'miss', 'v', 'jadi', 'miss', 'v', 'rapat', 'kencang', 'bersih', 'atas', 'putih', 'kuat', 'otot', 'otot', 'wanita', 'hilang', 'gatal', 'gatal', 'akibat', 'jamur', 'muas', 'pasang']"
Jamu Kesehatan,Bikin Gemuk,Menambah berat badan,ribkah maryam jokotole,menambah berat badan,menambah berat badan,"['menambah', 'berat', 'badan']","['menambah', 'berat', 'badan']","['tambah', 'berat', 'badan']"
Jamu Perawatan Kewanitaan,Spray Virgin (Madura asmara spray),"Merapatkan dan mengharumkan miss V, sehingga seperti perawan kembali, membantu mengurangi lendir berlebih dan bau tidak sedap.",ribkah maryam jokotole,"merapatkan dan mengharumkan miss v, sehingga seperti perawan kembali, membantu mengurangi lendir berlebih dan bau tidak sedap.",merapatkan dan mengharumkan miss v sehingga seperti perawan kembali membantu mengurangi lendir berlebih dan bau tidak sedap,"['merapatkan', 'dan', 'mengharumkan', 'miss', 'v', 'sehingga', 'seperti', 'perawan', 'kembali', 'membantu', 'mengurangi', 'lendir', 'berlebih', 'dan', 'bau', 'tidak', 'sedap']","['merapatkan', 'mengharumkan', 'miss', 'v', 'perawan', 'membantu', 'mengurangi', 'lendir', 'berlebih', 'bau', 'sedap']","['rapat', 'harum', 'miss', 'v', 'perawan', 'bantu', 'kurang', 'lendir', 'lebih', 'bau', 'sedap']"
Jamu Perawatan Kewanitaan,Dupa (Ratus),"Campuran mandi rempah, Bisa digunakan untuk gurah Vagina",Madura Sari,"campuran mandi rempah, bisa digunakan untuk gurah vagina",campuran mandi rempah bisa digunakan untuk gurah vagina,"['campuran', 'mandi', 'rempah', 'bisa', 'digunakan', 'untuk', 'gurah', 'vagina']","['campuran', 'mandi', 'rempah', 'gurah', 'vagina']","['campur', 'mandi', 'rempah', 'gurah', 'vagina']"
